avg,unknown
3213.6219733833595,3213.6219733833595
3342.669265569069,3342.669265569069
3374.006749802886,3374.006749802886
2384.9238995189,2384.9238995189
2391.9414876435067,2391.9414876435067
2397.500131525131,2397.500131525131
2165.8846056945276,2165.8846056945276
2168.421401135112,2168.421401135112
2090.374290671223,2090.374290671223
2091.7196115010347,2091.7196115010347
2222.0134500666936,2222.0134500666936
2226.41269043149,2226.41269043149
2230.2249066682866,2230.2249066682866
2470.589863183027,2470.589863183027
2473.1366686190586,2473.1366686190586
4276.233897176163,4276.233897176163
4281.697444150757,4281.697444150757
5394.820680858416,5394.820680858416
5407.950677256315,5407.950677256315
7131.598879154206,7131.598879154206
7146.617814205574,7146.617814205574
7160.120309177015,7160.120309177015
9189.464215911754,9189.464215911754
9199.507848188037,9199.507848188037
9281.539980160122,9281.539980160122
9289.31677907243,9289.31677907243
8770.086991095699,8770.086991095699
8777.063582887356,8777.063582887356
8768.070981271481,8768.070981271481
8774.144938255497,8774.144938255497
8779.965443670366,8779.965443670366
8160.832264238486,8160.832264238486
8166.046024536483,8166.046024536483
7595.2379647316675,7595.2379647316675
7600.170709060426,7600.170709060426
7017.531624548972,7017.531624548972
7021.898673618735,7021.898673618735
6493.809150163596,6493.809150163596
6704.472467557341,6704.472467557341
6714.462952417684,6714.462952417684
6517.262352703518,6517.262352703518
6526.256665354783,6526.256665354783
6373.672861472462,6373.672861472462
5926.898974246411,5926.898974246411
5864.729100737631,5864.729100737631
5760.856835002451,5760.856835002451
6083.424008123522,6083.424008123522
5632.26441785475,5632.26441785475
5517.610506735548,5517.610506735548
5526.422444127411,5526.422444127411
5450.20461197469,5450.20461197469
5127.101411921263,5127.101411921263
5005.081842097176,5005.081842097176
4741.459908272131,4741.459908272131
4726.274732059043,4726.274732059043
4709.500205415883,4709.500205415883
4501.01529311466,4501.01529311466
4482.492793901558,4482.492793901558
4159.367482295895,4159.367482295895
4187.451920195262,4187.451920195262
3718.5616206157156,3718.5616206157156
3798.655352026209,3798.655352026209
3783.341722357268,3783.341722357268
3780.9493558176396,3780.9493558176396
3936.675103739274,3936.675103739274
4126.448788316803,4126.448788316803
4090.160548552507,4090.160548552507
4096.772856045457,4096.772856045457
4079.71209816683,4079.71209816683
4039.641819839049,4039.641819839049
4015.950144089843,4015.950144089843
4089.7976255490876,4089.7976255490876
4089.729896302625,4089.729896302625
4067.434979737037,4067.434979737037
4125.117533195223,4125.117533195223
4108.153493750419,4108.153493750419
4181.413751145099,4181.413751145099
4178.288433820602,4178.288433820602
4152.252705183942,4152.252705183942
4121.231256767274,4121.231256767274
3988.623534925746,3988.623534925746
3988.636363636364,3988.636363636364
3974.1105463786544,3974.1105463786544
3923.452220726783,3923.452220726783
4055.53733067661,4055.53733067661
4108.628429780845,4108.628429780845
4152.3679220239665,4152.3679220239665
4226.867151354925,4226.867151354925
4262.719849246238,4262.719849246238
4285.321100917435,4285.321100917435
4285.321100917435,4285.321100917435
4274.405506883608,4274.405506883608
4270.372710044223,4270.372710044223
4299.876084262702,4299.876084262702
4292.702358189929,4292.702358189929
4314.556962025316,4314.556962025316
4347.560975609753,4347.560975609753
