frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
92.6645591685773,11.762807282117162,13.911730861076697,3.0569100820546184,138.74481310085676,8.19087015106221,3.3007677156584,9.6115233808113,7.952330757988649,4.299614528861108
94.33531057345718,11.974891891036261,14.162560780184933,3.1120264810318456,141.2463961600967,8.338552371048602,3.3602808925147842,9.784820122689847,8.095712088512308,4.3771370151168085
96.38108963743544,12.234582382064103,14.469693604153969,3.1795146631636406,144.3095007215822,8.519384296664558,3.4331527817066894,9.997016171339148,8.271277719218295,4.472060699697435
97.06178500147644,12.320989617547504,14.571886403514224,3.2019701147388138,145.32869243748596,8.579552794624462,3.457399562806003,10.067620504488648,8.329693954387945,4.503644810205474
97.21455518201918,12.340382211742114,14.59482179169691,3.207009848476594,145.5574322095948,8.593056562656244,3.4628413291552436,10.083466413381455,8.342804457654069,4.510733311933986
91.68507266787606,11.63847160247265,13.764680546457228,3.0245978130912174,137.27824732108135,8.104290699177408,3.2658778133219926,9.509927285312132,7.868272724405486,4.254166577378633
92.55028928082486,11.748301901852676,13.894575522097039,3.05314043403514,138.5737190562563,8.180769527683061,3.2966973530543005,9.599670869908431,7.942524290972144,4.294312431986099
92.00937502390455,11.679638432049424,13.81336806124348,3.0352962198032603,137.76381882953137,8.132956658544684,3.2774296596426926,9.543565169152378,7.89610385665144,4.269214133145745
95.55602878741891,12.129849441424861,14.345827213460199,3.15229674022359,143.07415341664196,8.44645494427951,3.4037636145685406,9.911437696443484,8.200472258817168,4.433778063382595
94.65651422896343,12.015665372634098,14.210783087041946,3.1226226647478184,141.7273280454948,8.366944427924544,3.3717223612462948,9.818136597430573,8.123277295018216,4.392040791882481
95.1868164977938,12.08298176031769,14.29039737005564,3.1401168002260316,142.52133915217883,8.413819274832315,3.3906120492154708,9.873141582092376,8.16878702474972,4.416646696882289
94.41477314027465,11.98497884194827,14.174490495849838,3.1146478707393,141.365373890963,8.34557628151137,3.3631113972677102,9.793062284803586,8.10253144447624,4.380824060194824
96.79737670622752,12.287425719454083,14.532190784456164,3.1932475525124633,144.93279912254675,8.556181032726716,3.4479811792023844,10.040195062284342,8.307002838843436,4.491376325274407
97.74574885784912,12.40781175432376,14.674569901649157,3.224533390570116,146.35277800236227,8.64001020343139,3.4817627695815845,10.138563858195177,8.388390686571068,4.535380578016401
95.84764622013043,12.16686725807309,14.389607740499672,3.1619169043743414,143.51078643536601,8.472231795176526,3.414151204126553,9.941685374713446,8.225498420928387,4.447309046120824
93.80233408362814,11.907236038658516,14.082545016355592,3.0944441257077084,140.44838099516238,8.291441142538718,3.3412959471741153,9.729537757572293,8.049972861224326,4.352407026869183
