/ && GET,^/product/[0-9][[:alnum:]]*$ && GET,,,,avg,
8784.264464194119,2107.769874981386,,,,3284.471581554153,
8790.275022045855,2108.991375448029,,,,3289.6234882842036,
8794.689873352501,2109.8885871651855,,,,3293.4076465470393,
8798.31246089336,2110.6247904396187,,,,3296.512721582065,
8801.299136187197,2111.231759934817,,,,3299.0727289767847,
4899.348780312301,1728.9433384379788,2126.231767543356,41.31057268722466,1852.2804244750512,2316.7247517683873,
4898.184200972629,1700.0755440625271,2114.72472189453,41.61228079870324,1852.3640533096327,2313.505215613739,
4897.18132624972,1673.9535911907542,2104.425473974907,41.86280498924107,1852.4367061685764,2310.7114348767973,
4896.284312822403,1649.5265649658072,2094.8903408704773,42.079962903807484,1852.5021949078136,2308.1956900298137,
4895.5321678510645,1628.2212445003129,2086.6483376845413,42.257226469182996,1852.5574786876782,2306.073845779806,
4894.859723918007,1608.5011522193004,2079.080706319924,42.4121188283178,1852.6071939919173,2304.1671912770794,
4890.335105590234,1587.85977309488,2071.2217174504112,42.56556577106707,1858.414752851711,2302.492952934819,
3951.8867924528304,1446.765385749081,2089.685840833594,46.67345215759852,1599.4351940145225,2188.6137273840222,
3836.3602286571104,1424.1219132641143,2084.328510091803,46.839633715174685,1383.67687519733,2174.278784134717,
3766.6641526510293,1039.7208788616404,2039.2723420705172,46.97722899653208,988.9453029909878,2086.867925904588,
3701.4978050665786,987.6908475571959,1983.3272638730655,49.55000000000001,987.8968136120502,2064.87747957993,
3117.2768071353944,987.0675602503555,1978.305323974775,49.55000000000001,987.4603928380266,2064.87747957993,
2471.979104389842,986.3882421354913,1978.0612244897961,49.55000000000001,987.4439336760674,2064.87747957993,
3065.789473684208,1461.3207547169811,2149.928081781658,78.21428571428574,1450.0000000000011,2173.220536756127,
3065.789473684208,1461.3207547169811,2149.540158397066,78.21428571428574,1450.0000000000011,2173.220536756127,
3065.789473684208,1461.3207547169811,2149.1557165100626,78.21428571428574,1450.0000000000011,2173.220536756127,
3065.789473684208,1461.3207547169811,2148.7722319546306,78.21428571428574,1450.0000000000011,2173.220536756127,
3065.789473684208,1461.3207547169811,2148.2558139534885,78.21428571428574,1450.0000000000011,2173.220536756127,
3065.789473684208,1461.3207547169811,2148.2558139534885,78.21428571428574,1450.0000000000011,2173.220536756127,
4013.827062706271,1867.0864852838342,2236.6812227074242,61.87116339869262,1877.010857186242,2379.290904206582,
