/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg,
1030.7329742208549,385.6864127879642,425.0,323.7785766961652,4.466666666666667,693.3344615319527,
933.811133155246,279.7972282072824,340.152576181988,247.14186684774916,4.254700854700856,512.9576499473226,
933.6346941894225,279.9394521735403,339.7822574264652,247.12775946658644,4.254700854700856,513.0018456905196,
866.4225296938606,243.80523084389947,256.60876495938754,236.90462803429608,4.215286624203822,452.7955596623867,
866.3498868893895,243.81406058790918,256.4761610335794,236.89787728898222,4.215286624203821,452.81249388932486,
1103.2701285762291,388.5831361130645,427.45878747622334,361.24118132504077,4.155828220858897,656.9213875972923,
949.729511257398,283.083852240858,346.73943385155275,258.5853510044,4.0873786407766985,495.870483709234,
949.7570569060426,283.32523643637415,347.1706131993244,259.1642492027952,4.0873786407767,495.95580324928085,
1408.0731617812244,601.9999580317678,667.9831324027643,554.0979178135057,4.11639344262295,742.1245119650298,
1885.273548706523,680.2573546189351,783.5762272813428,626.3531303848355,4.281632653061226,861.2605403696159,
1869.5916468740334,652.7495350447774,778.7697045502457,618.698225758136,4.290483878862908,852.8762453770287,
1919.189755219023,589.6977201919104,770.2449635567637,586.3577911251241,4.324501278705014,857.5256748416798,
1851.8564842778828,598.7294879435926,758.4186917621012,571.0463752587269,4.30775374909763,845.2918024785458,
1794.576793865315,633.1720223978192,763.9442903639546,569.202062806442,4.282759464424272,852.501171044516,
1894.5630165892485,728.2516107559821,864.107805413923,651.5923094935271,4.31773239457633,908.2432898543914,
2106.3330343376792,830.5157440432479,969.209230802971,761.086138201837,4.3585655356500155,991.9975345905503,
2044.7122725237416,771.3242152689326,896.455939411918,707.542630515124,4.434317919460312,942.1004186161892,
1911.1668423210203,715.181607387412,874.42160790909,666.6117689005956,4.503401838376972,908.3469390062869,
1840.1216883505635,693.0355778871369,872.7975492486637,649.4769797223547,4.518424974408133,889.2122276611785,
1795.1496709171593,658.8631911384151,851.9747242694866,594.4099892959264,4.531625765706969,868.4779398228678,
1696.3526283902816,615.9894473156633,823.23179558194,554.5475767490417,4.557943566406266,835.7080172045373,
1580.7450502412175,569.8114377333791,789.8785047174338,546.0895936939248,4.566499693360109,799.0903778542795,
1539.7458798828613,548.419009808583,785.2453644851931,550.1262404376965,4.582499812737506,787.8737135280655,
1502.2526357378636,535.8951575068917,782.161080293154,597.2975705724689,4.5953845443258885,776.5027113153043,
1420.1517641505914,515.6019709748783,774.476192117675,573.4853387249949,4.576694996636724,754.1590785654714,
1362.6166555606637,548.5794577818427,796.3238316866918,598.5286134449777,4.597688951213382,743.5876858835657,
1295.4256276256237,538.9199062903342,802.537387490231,600.0282067087928,4.643379770839671,733.4443329236769,
1289.2891290712325,544.8445856839155,806.1402995216765,601.1341385962493,4.684508305158095,737.2420125076958,
1414.0056713122337,599.5929118626148,837.1299403809536,604.8543873424613,4.71697257408627,778.0713154734834,
1502.535106332215,635.2339690710155,859.1692164595011,641.6540289133816,4.753818178045761,810.6701093590996,
1430.945865613963,626.6680061269782,858.5575607766946,620.6284868490698,4.74809138580793,798.2125138133549,
1106.41316245333,515.623323861221,793.8670654941975,517.0536638654382,4.761403308941394,718.5827296760688,
1126.5351348691693,533.5417800503075,809.9417770837108,537.2392015707018,4.79228789658629,733.5279353231697,
1046.5061967541494,511.32015476209244,803.382865878493,524.435320970063,4.795434533892179,717.6290410725087,
951.7900450905847,462.1786157617378,743.9257506536511,466.3849551539994,4.801359761047357,642.5736908549021,
854.5694209328757,425.3884065012195,697.6771455282188,430.6086835230989,4.766060284097708,564.7510663149158,
861.6033432461018,419.54093883562814,680.762420181096,421.7637380061297,4.791003833450233,547.8837383778932,
805.8121753870525,402.5248485751369,662.7704583366304,404.6083608996953,4.7926229395484965,504.56840471942326,
767.7633785793141,371.604697118456,650.1878786997252,376.87253374706046,4.779549407719209,484.68100663716046,
745.4518132476359,343.1787577516425,626.6139032441516,357.36702340720944,4.778778543477391,472.1958790025512,
717.6684751093317,305.2888995809068,574.0998302196978,351.1125160965703,4.799330851422894,456.3407981370667,
634.4402640719817,248.19218160234036,489.3221047076165,277.2300676906422,4.793856080897973,414.7254182817476,
606.8722063662401,245.25153836467874,480.2955664869164,249.8467991448676,4.78422447984719,399.6371000092013,
601.8326951286208,244.27953276658627,476.6701306535782,248.46212973571798,4.776966219585769,393.83966079489096,
592.0335204128035,243.01257398249226,469.2463130206801,247.25398590556208,4.776512346885988,385.926682767912,
596.8668308845242,245.33937862716803,473.69500385140094,250.7294874969311,4.775906553296307,391.2632329301076,
599.9409223976219,247.24471880022259,480.9283991320151,270.89459680076254,4.769291610984473,396.45041636308207,
628.4637008160076,261.57538128984334,496.9564659694272,300.800915863011,4.768802922208413,412.07093517090743,
659.2625342881663,269.3420663368523,512.3176368619086,305.18799295138456,4.759538492442358,421.2359656757948,
670.6460748122665,294.9050354010999,528.7438838236201,298.96563690947727,4.749370216748152,427.01436808213015,
680.0291378976087,306.0743254897793,540.4193267490626,326.92929980019176,4.750591390350191,435.08800018712634,
673.6820862344795,307.3949318315426,524.9430778444741,332.6496924124539,4.750137835049019,430.71081062213295,
652.323932969787,302.3299614195428,505.39815960605654,328.4368569034434,4.736642604086259,422.99458226272577,
629.100287584904,284.8774194055055,494.45848603000127,313.38733359492335,4.711482048995393,412.0407932006098,
638.4752048709555,288.02812065117587,491.35813468689093,295.2151499808079,4.713752651067249,413.4557649747285,
628.9120752116515,285.6991869538136,489.3650532706421,296.7310179186325,4.697905921243944,409.24857425764395,
617.9631281904706,271.4424549099226,480.1230411649089,288.41868375324714,4.704647857899809,401.13482345943754,
615.4630717943672,267.14040167162085,488.4999393903771,284.24983124951154,4.694863685442106,404.33605930860244,
621.5998212518958,278.0954639020468,491.9928690699977,296.99972575382986,4.711352523176303,408.7042053427609,
610.8778747009281,263.67475457210736,480.13040749340905,281.7633003862499,4.6989335469456055,396.8694860515594,
612.5512547983119,252.0857393869338,478.4157479636307,272.85867838301834,4.69836984681663,392.1092897420428,
612.9611297774615,260.4228977956308,475.82830322874986,264.2861568607156,4.697465782853158,387.9105609545245,
