frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
15,8,1,5,13,8,6,9,6,9
20,2,1,15,1,17,6,21,11,4
15,23,1,1,10,1,6,13,3,22
10,1,1,14,15,21,1,14,6,3
8,7,4,9,10,12,5,5,6,4
8,6,1,6,10,8,12,11,6,4
11,14,1,5,13,7,3,8,6,16
16,9,7,9,10,10,2,11,6,8
16,1,1,11,2,10,8,8,7,11
17,8,5,14,3,11,1,13,5,4
17,10,8,11,9,12,14,7,3,17
23,23,1,1,11,2,11,8,10,14
8,1,6,8,8,16,1,20,4,10
8,18,1,14,13,17,10,9,3,20
7,11,1,19,12,7,8,6,3,14
14,8,3,8,7,7,1,6,8,4
27,13,4,10,13,9,5,7,3,13
14,21,1,23,8,19,17,16,4,25
9,7,8,9,7,2,4,14,3,13
9,1,5,3,7,23,17,14,8,3
12,7,2,8,10,7,1,25,9,5
8,14,3,13,4,13,8,23,12,15
