carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,1,6,1,1,1,1,2,3,1,2
6,8,1,2,3,6,1,1,1,1,2,4,1,2
6,8,1,2,6,6,1,1,1,1,2,9,1,2
6,8,1,2,13,6,1,1,1,1,2,17,1,2
6,8,1,2,24,6,1,1,1,1,2,30,2,2
6,8,1,2,30,6,1,1,1,1,2,30,2,2
6,8,1,2,30,6,1,1,1,1,2,30,2,2
6,8,2,2,30,6,1,1,1,1,2,30,2,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,2,2
6,8,1,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,30,3,2
6,8,2,2,30,6,1,1,1,1,2,7,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,2,2
6,8,1,2,30,6,1,1,1,1,2,1,2,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,2,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,29,6,1,1,1,1,2,1,3,2
6,8,1,2,27,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,28,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,4,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,29,6,1,1,1,1,2,1,3,2
6,8,1,2,28,6,1,1,1,1,2,1,3,2
6,8,1,2,28,6,1,1,1,1,2,1,3,2
6,8,1,2,28,6,1,1,1,1,2,1,3,2
6,8,1,2,29,6,1,1,1,1,2,1,3,2
6,8,1,2,28,6,1,1,1,1,2,1,3,2
6,8,1,2,17,6,1,1,1,1,2,1,3,2
6,8,1,2,17,6,1,1,1,1,2,1,1,2
6,8,1,2,17,6,1,1,1,1,2,1,1,2
6,8,1,2,17,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,10,6,1,1,1,1,2,1,2,2
6,8,1,2,10,6,1,1,1,1,2,1,1,2
6,8,1,2,13,6,1,1,1,1,2,1,2,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
6,8,2,2,30,6,1,1,1,1,2,1,3,2
