frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
28,1,2,11,3,9,4,7,18,2
8,4,6,2,16,15,7,13,8,1
13,1,2,8,4,15,14,13,4,14
10,10,6,12,7,12,8,8,4,6
12,6,6,8,4,7,1,4,13,7
16,7,6,1,8,6,8,19,6,9
10,1,2,7,3,14,1,8,3,8
6,1,1,9,28,19,5,8,19,1
10,8,3,1,5,24,4,12,1,8
13,1,3,9,8,8,21,9,2,4
9,5,4,8,14,7,2,17,8,3
8,1,2,9,6,15,10,5,4,6
26,14,2,8,4,21,11,12,4,4
14,15,5,8,5,11,13,7,4,3
1,9,2,10,2,10,3,4,4,8
8,1,6,1,7,12,2,18,8,7
7,3,5,2,10,15,6,22,3,5
10,6,1,8,15,1,1,13,9,16
17,5,4,6,9,2,6,14,8,2
14,8,3,16,11,23,15,11,7,9
10,14,8,3,7,19,3,11,5,6
10,8,3,1,1,6,5,1,12,2
1,3,7,16,4,12,6,2,6,4
7,9,5,9,17,6,1,6,10,4
9,6,6,4,1,14,22,6,11,1
7,6,1,1,3,2,15,22,3,13
12,1,1,11,11,2,4,8,13,11
6,1,3,18,8,14,4,10,13,12
12,12,8,8,7,23,3,3,5,4
16,12,1,3,1,10,1,13,13,1
12,5,6,9,2,8,9,12,3,2
11,2,3,5,8,17,1,18,10,7
10,13,4,8,7,8,5,6,5,10
5,6,6,1,3,16,8,6,1,3
8,12,3,2,4,9,4,9,5,5
17,2,3,6,7,2,4,8,8,12
8,5,6,17,13,8,8,8,12,1
6,18,2,10,5,18,2,22,8,1
10,10,4,8,6,1,2,15,6,13
8,8,1,4,10,12,18,19,7,2
4,1,3,8,2,1,10,4,11,12
8,1,5,22,11,12,24,21,4,26
9,3,2,15,6,3,14,19,3,1
8,1,3,1,6,2,23,13,12,8
5,8,7,3,6,17,3,7,8,3
23,7,1,3,13,11,15,9,3,1
10,4,6,8,6,3,2,8,5,7
28,6,1,7,4,8,1,8,6,15
8,8,3,2,25,13,12,13,3,3
10,4,5,11,20,2,6,14,6,1
6,2,1,11,6,7,27,16,11,28
10,5,8,8,4,8,2,10,8,29
10,12,6,16,8,17,1,10,5,9
8,9,5,12,7,8,1,8,6,22
8,8,1,5,10,13,4,17,8,8
14,2,1,9,6,16,8,11,10,6
14,7,4,18,8,11,1,5,6,6
7,8,2,18,2,9,8,8,6,5
8,4,8,7,9,17,5,15,5,1
7,14,7,6,10,19,1,5,12,5
9,4,3,6,8,19,10,6,3,12
9,4,14,2,5,10,7,20,3,2
10,11,7,9,2,8,1,8,6,28
10,9,8,13,5,6,13,6,9,4
7,10,4,8,4,7,18,11,12,3
7,10,1,16,10,1,6,6,8,5
10,2,5,7,13,19,8,6,14,3
11,9,4,8,1,7,19,8,6,9
6,1,5,4,6,7,5,30,11,4
13,2,3,3,1,14,16,15,5,2
13,15,4,12,3,13,3,6,8,3
6,19,6,12,6,11,1,16,7,5
22,2,8,8,4,9,2,16,7,6
15,11,1,1,4,3,3,8,25,15
8,4,2,7,12,3,6,8,5,7
9,3,4,1,7,8,3,10,4,20
8,2,8,11,6,19,5,14,5,3
9,8,3,2,8,11,2,15,8,14
8,5,3,23,8,12,1,7,1,7
19,6,1,3,29,13,2,8,5,1
10,4,1,16,4,26,8,5,4,10
8,11,5,8,1,14,3,8,28,5
10,5,8,13,2,4,9,8,14,20
9,3,6,7,17,4,4,12,5,2
26,15,4,16,1,4,14,7,9,3
11,1,5,14,1,7,3,13,8,3
11,12,8,23,8,5,1,14,4,20
12,17,4,3,4,9,20,7,7,5
23,8,5,29,8,14,1,2,10,9
16,14,1,9,4,8,5,11,11,11
18,14,2,9,2,12,1,16,1,10
8,18,2,3,4,10,3,15,17,2
12,14,8,4,4,17,8,7,11,1
8,6,9,4,1,9,8,16,3,3
16,12,3,9,8,1,4,6,7,2
11,8,1,6,22,15,3,7,8,4
10,24,1,8,9,14,4,14,2,5
6,1,8,18,3,9,2,19,4,1
17,5,7,1,5,7,13,19,9,3
7,8,8,4,5,26,11,6,7,8
8,29,2,5,7,14,5,5,2,5
14,3,3,8,8,12,8,7,1,6
7,5,4,10,8,11,5,13,8,7
10,8,2,2,3,12,5,15,3,21
7,18,10,13,4,9,2,6,10,1
8,3,1,8,11,22,3,12,8,2
13,7,2,4,12,1,11,8,3,2
8,3,1,10,14,8,21,6,3,17
10,5,5,4,7,12,9,19,5,13
6,11,3,8,9,7,1,27,4,6
15,2,2,10,4,9,11,5,5,18
7,8,8,16,2,27,1,8,1,5
26,20,5,6,1,11,6,5,4,1
9,3,1,4,4,11,23,8,3,6
6,5,5,8,12,13,4,21,6,16
20,9,4,10,12,9,5,19,3,2
17,4,3,3,14,8,6,13,10,1
9,14,8,3,4,10,14,11,3,1
9,1,3,5,7,6,6,6,6,1
17,8,2,2,12,17,17,11,1,1
10,4,1,2,9,13,2,9,8,12
9,4,1,28,5,13,3,17,4,17
17,6,4,3,5,1,1,6,20,17
8,23,5,1,9,1,1,9,9,20
7,7,7,4,2,6,12,7,3,4
11,5,1,9,16,1,13,9,7,17
8,7,3,8,14,4,25,9,6,1
11,17,6,1,7,12,5,11,1,3
8,7,8,1,6,8,2,17,7,1
8,5,12,16,18,16,8,5,7,1
7,3,1,4,1,8,10,12,7,3
7,1,1,10,11,8,18,9,7,4
8,1,4,11,4,7,1,21,1,1
9,6,4,13,8,8,5,7,3,11
7,12,4,12,13,8,1,26,4,5
11,6,4,4,2,24,1,27,3,2
11,6,8,21,9,2,5,16,4,1
15,11,1,2,2,19,3,9,5,2
8,4,23,4,5,8,1,11,1,2
8,2,22,20,4,1,2,6,3,1
8,3,4,8,5,6,16,8,17,10
16,5,7,8,5,9,2,9,11,8
28,4,5,4,4,13,10,13,5,7
8,15,2,7,18,2,3,12,11,5
23,4,3,4,8,5,5,12,4,8
17,10,8,5,2,8,1,7,1,18
23,4,3,11,12,9,4,9,5,1
9,3,7,6,7,12,1,7,6,8
10,21,1,2,5,5,5,8,3,5
8,11,2,4,13,17,21,6,8,4
8,28,1,3,16,8,1,7,7,14
23,11,5,8,7,6,16,13,3,10
27,2,4,1,1,8,1,8,8,1
6,2,2,10,14,10,3,22,9,3
6,11,6,6,5,1,2,6,17,18
12,2,5,5,10,23,5,11,7,13
14,8,6,2,9,4,21,13,6,1
9,5,2,13,1,13,10,8,4,4
6,8,7,7,11,3,15,6,3,16
13,19,1,2,13,7,1,8,10,10
8,3,3,19,5,4,3,8,3,6
7,5,4,2,5,3,10,12,4,8
8,4,4,6,1,19,10,7,8,8
16,14,7,1,3,11,9,22,7,7
14,23,2,3,2,24,1,5,5,2
9,5,7,1,5,5,9,10,11,3
8,1,3,1,9,3,2,21,5,10
7,2,15,3,4,14,2,17,3,3
14,4,5,4,3,5,22,6,4,1
11,8,15,6,4,9,2,16,5,1
16,8,4,2,10,26,3,11,5,2
13,1,8,3,11,19,1,9,9,5
10,6,6,4,8,9,6,11,12,5
14,7,5,7,4,11,7,10,3,9
13,8,2,24,8,4,1,13,3,8
6,3,7,6,1,11,9,7,16,28
8,11,3,8,13,15,3,20,3,11
6,3,5,8,8,3,16,16,9,8
26,3,3,11,9,8,3,14,2,11
8,5,8,8,10,4,1,8,4,24
8,8,8,3,8,10,2,8,4,24
9,5,9,1,12,17,6,7,7,23
17,6,3,8,5,6,3,18,4,6
7,11,8,12,7,2,3,5,4,15
25,3,1,1,1,12,4,23,8,7
11,7,1,4,8,12,2,7,7,8
10,9,1,15,8,10,7,7,9,18
8,9,1,7,8,15,8,18,10,5
12,3,1,6,4,8,2,5,8,5
15,1,3,7,18,4,1,10,5,3
7,18,5,9,8,16,3,5,10,4
17,1,3,14,5,4,4,23,11,2
15,5,7,1,25,3,18,8,5,2
15,5,8,4,14,9,3,12,10,1
10,8,4,1,13,6,1,8,14,2
8,12,5,23,16,18,2,9,1,1
1,7,6,16,5,20,1,14,8,1
12,6,8,10,6,8,9,8,5,2
10,7,5,16,2,14,1,13,2,11
14,12,6,4,3,11,10,5,4,16
13,5,3,29,3,12,4,10,1,4
8,8,6,9,8,7,6,15,2,7
23,10,1,8,17,7,2,7,3,1
8,14,4,15,8,5,5,11,5,1
26,9,4,2,6,1,10,19,2,3
15,2,5,7,16,4,3,6,1,14
26,8,3,1,10,12,4,9,7,9
11,8,1,13,8,20,3,10,6,7
7,8,2,3,5,23,8,13,10,1
23,2,6,15,12,7,14,5,1,7
11,4,2,10,5,20,28,16,1,4
14,2,3,5,19,21,10,5,1,3
6,6,7,1,9,4,8,12,18,5
13,3,2,22,7,8,1,7,1,1
11,7,2,23,1,2,11,7,6,2
9,13,5,7,11,19,3,8,2,1
11,5,1,18,7,10,2,10,12,10
8,1,8,6,8,4,8,12,6,23
12,4,8,6,6,8,4,9,6,24
18,26,2,1,14,1,1,13,1,5
17,1,3,6,20,13,11,6,2,4
11,1,1,8,1,14,6,7,8,3
8,5,8,6,6,17,17,9,10,6
12,6,1,4,6,9,14,11,7,5
7,6,8,6,10,1,7,7,11,5
9,17,1,10,5,9,2,5,6,28
13,2,1,13,6,12,9,6,3,6
8,7,9,7,10,3,3,24,10,1
9,4,6,8,13,1,9,12,4,15
13,5,3,12,9,4,5,20,8,3
7,1,2,20,19,5,9,8,8,5
7,13,8,18,10,6,1,9,6,4
23,7,8,18,5,8,15,6,10,2
8,15,9,2,7,15,7,13,4,4
9,4,4,1,9,4,2,23,5,14
14,8,4,4,20,16,1,13,4,4
7,14,3,3,10,8,2,8,3,8
13,8,12,8,4,8,9,9,19,1
26,8,8,15,8,1,15,8,4,1
7,4,1,3,5,13,17,13,2,14
7,4,5,2,17,11,2,23,5,8
13,1,8,23,8,8,1,12,15,1
10,5,5,4,15,3,4,23,5,1
25,3,1,1,3,7,13,9,3,10
8,2,6,13,10,4,10,27,5,8
10,7,3,2,7,15,10,10,3,1
14,8,10,5,7,11,3,7,1,4
16,8,2,1,7,8,4,9,8,21
20,6,2,2,14,12,8,9,9,1
13,1,3,1,7,7,15,30,3,10
8,9,2,15,12,10,16,8,5,5
9,8,2,11,5,8,11,7,10,3
14,3,1,2,12,8,2,17,2,3
6,4,2,3,8,14,10,7,1,5
18,12,3,8,6,1,5,9,5,6
8,12,8,1,4,4,18,10,6,1
10,24,1,2,13,5,3,11,8,8
7,5,2,6,7,2,5,22,9,8
10,13,5,3,6,2,5,12,6,1
8,4,2,5,26,2,2,5,7,10
