unknown,avg
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
872.1428571428572,872.1428571428572
855.8907877995941,855.8907877995941
838.0219780219782,838.0219780219782
735.0,735.0
735.0,735.0
735.0,735.0
735.0,735.0
735.0,735.0
575.0,575.0
,
,
964.9333333333334,964.9333333333334
964.9333333333334,964.9333333333334
964.9333333333334,964.9333333333334
964.9333333333334,964.9333333333334
964.9333333333334,964.9333333333334
1099.5217391304348,1099.5217391304348
1080.1395107692308,1080.1395107692308
1092.8923076923077,1092.8923076923077
1134.7820512820513,1134.7820512820513
1134.7820512820513,1134.7820512820513
1090.8307692307692,1090.8307692307692
1239.7407407407406,1239.7407407407406
1239.7407407407406,1239.7407407407406
1220.888888888889,1220.888888888889
1220.888888888889,1220.888888888889
1209.093220338983,1209.093220338983
1103.3086419753085,1103.3086419753085
1103.3086419753085,1103.3086419753085
1151.7881355932202,1151.7881355932202
893.9651162790695,893.9651162790695
893.9651162790695,893.9651162790695
916.2854166666253,916.2854166666253
916.2854166666253,916.2854166666253
935.6624999999561,935.6624999999561
1122.880000000128,1122.880000000128
1122.880000000128,1122.880000000128
1062.0012345680116,1062.0012345680116
1117.1500000000951,1117.1500000000951
1117.1500000000951,1117.1500000000951
1247.8537815127052,1247.8537815127052
1247.8537815127052,1247.8537815127052
1195.1364238411384,1195.1364238411384
1172.6780555555554,1172.6780555555554
1172.6780555555554,1172.6780555555554
1240.2229438343097,1240.2229438343097
1282.89592303675,1282.89592303675
1330.879693347112,1330.879693347112
1272.2295894087526,1272.2295894087526
1269.5069454405734,1269.5069454405734
1284.5335055564208,1284.5335055564208
1252.5607649826634,1252.5607649826634
1250.2395467453057,1250.2395467453057
