/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
874.2430601229812,246.49999999999997,455.4347826086956,241.61396711704379,7.000000000000009,614.7199515591892,
873.6681326923733,246.49999999999997,455.4347826086956,241.77825679475163,7.0,609.1623197299787,
1805.7514573611274,476.1111111111112,687.9310344827586,424.3209423158009,4.7639344262295085,844.0410557334371,
1805.2270228288191,476.11111111111103,687.9310344827584,425.11556410766804,4.763934426229508,841.7824316085561,
2103.985743598181,1296.8937946029362,1610.099267351343,893.6462353633804,4.7038961038961045,1653.7523023839708,
2103.872918304741,1301.0652570533607,1609.1248863191804,896.0280556642265,4.703896103896104,1650.3247652622833,
2197.2244762702812,944.291667838208,1227.6786174317908,832.2163680420365,4.587433345101582,1638.9851224279278,
2204.3458982197044,945.2047191184681,1220.1421845048678,836.9922302266821,4.568903260731851,1650.5518245934845,
2173.228255525758,1208.1036875221178,1474.5667297769369,1204.4414833563183,4.845228056798623,1711.2577160553114,
2176.646540784163,1218.03404303612,1486.1021149231904,1224.4027552247592,4.850093792160213,1719.6484694058133,
2058.583257737707,953.0221704908467,1131.963261803489,954.0935216677544,4.656894990768549,1455.3893445496608,
2059.0880761329245,954.1984839946738,1135.7968228601378,957.6128463218155,4.655563738241618,1457.3571850185829,
1922.8279127327164,844.2724408583667,962.8796392748676,837.1214460284002,4.595178840558583,1189.2547734525335,
1921.4949699282195,844.6374014050571,962.8424632707276,839.1157510145251,4.594388798229751,1188.191069576856,
1901.0993430567582,866.4897333708875,1123.1907048046064,811.9467414567039,4.558444306825853,1210.5367615329574,
1899.7335235282476,866.9685992659101,1123.4470977939545,813.0742263843961,4.557558601388731,1209.1879501748494,
1981.6605597227242,877.2262288582272,1241.1979192630133,899.7122235351527,4.597954455917917,1346.6164451053996,
1985.2236000677276,860.180478523454,1218.7840424856,882.3740566976708,4.601984321959427,1324.5324380339982,
1976.029323547303,870.1346783317757,1222.4321548431105,914.3535972202324,4.603309779829871,1319.9246467695184,
1980.7244018795234,888.439104700604,1317.0246666996366,909.0696078899605,4.572870219975465,1356.7907304486805,
1971.50202056033,866.7891220762841,1287.1391701338407,878.5711821629625,4.561000247148318,1323.73224018902,
1958.9416311736127,834.0209972237515,1174.9103715677556,860.8481952379319,4.554225193698393,1274.3146131772064,
1943.0269503615132,795.0951719507187,1107.0225543986471,829.5172296121668,4.543669657318961,1221.0277521422668,
1922.9765693112179,771.3625143215081,1029.16919968323,810.5237913402715,4.554783806567174,1164.7746999753147,
1899.4192896114587,742.473572357079,990.9271163609747,780.8516269982684,4.578366183511452,1100.621953494795,
1891.8950591288776,738.9878539468784,984.6677322053172,792.5192266929635,4.596807580604526,1076.2240428343146,
1880.9341846999982,738.8964420038074,988.8873119992188,788.7729451583443,4.607335023066996,1059.6826759730093,
1873.4049593427137,760.3620096388975,1014.8348604708993,805.6329698407594,4.6077629300438305,1064.2236201853582,
1847.924251574241,771.1845960785197,999.2484256777971,805.8053553195605,4.624893718173917,1016.8433927844,
1850.2318421171717,776.0839156920813,997.3087182458708,810.7640860475128,4.62642955774125,1016.6542550363316,
1864.8871835674302,790.320006948796,1016.534793566667,829.6623976460279,4.620863081829302,1031.1990379246085,
1875.2707675137037,801.8198408396324,1034.7490170762167,837.6765658475468,4.612167142943683,1052.9886283912783,
1939.8132050291333,808.7642028286471,1128.7221604793144,845.0340088938049,4.591361344037606,1102.9268259947933,
1934.6404979941542,807.5110869971157,1109.5020989880068,842.5091040599766,4.582529421772494,1084.8630164328677,
1910.3579607681122,813.2973333915319,1015.6939758423873,856.0793859960127,4.567416956981619,1044.4949627361889,
1901.9938704280723,810.1800965587781,1020.4857043587784,878.7269644051505,4.550845640858157,1018.6911602418675,
1834.3407310246562,812.0275593061729,1067.1846206531006,882.3765506827197,4.533674268401858,991.7041826020393,
1816.9882811925709,804.2410882703584,1014.1881363290485,848.3321345999794,4.524619569473489,983.1875389730726,
1720.3626308968182,725.1939348545333,944.9862577817612,791.822341365081,4.509198281478413,925.0596475938015,
1715.6090569969497,717.2948601868819,940.1757217004865,786.0882399884708,4.509768920000234,922.4071534317632,
