/ && GET,avg
1287.5939849624083,1287.5939849624083
1287.5939849624058,1287.5939849624058
1287.5939849624083,1287.5939849624083
1171.1111111111115,1171.1111111111115
1171.1111111111113,1171.1111111111113
1074.4755244755233,1074.4755244755233
1052.8037464556678,1052.8037464556678
996.000696958085,996.000696958085
993.7917083898373,993.7917083898373
981.8916993846727,981.8916993846727
968.4883369430453,968.4883369430453
962.2386414066494,962.2386414066494
945.6239209827133,945.6239209827133
945.9748088251438,945.9748088251438
941.5793311238065,941.5793311238065
940.1950219538945,940.1950219538945
929.0213685110103,929.0213685110103
926.72047029749,926.72047029749
910.9179586127607,910.9179586127607
908.7902330668983,908.7902330668983
889.9913047998484,889.9913047998484
887.8366583512441,887.8366583512441
880.1356952507542,880.1356952507542
819.4389581350831,819.4389581350831
796.7482304899472,796.7482304899472
723.5000415087072,723.5000415087072
709.1703484102226,709.1703484102226
644.6283079823578,644.6283079823578
640.9919771827865,640.9919771827865
625.2270999612357,625.2270999612357
564.6757064257868,564.6757064257868
552.3164917042391,552.3164917042391
494.2425428033871,494.2425428033871
489.5270698146812,489.5270698146812
430.5567886457944,430.5567886457944
429.28728033763974,429.28728033763974
402.9712203820326,402.9712203820326
401.3192356767646,401.3192356767646
393.9335793815359,393.9335793815359
387.4211573105688,387.4211573105688
379.0395725994206,379.0395725994206
267.1397923956916,267.1397923956916
255.03325969332872,255.03325969332872
228.14581068752167,228.14581068752167
228.2384753350733,228.2384753350733
223.86391735069498,223.86391735069498
192.1109914845834,192.1109914845834
173.77195512390023,173.77195512390023
150.33784873464774,150.33784873464774
143.2981232022856,143.2981232022856
140.88231453678446,140.88231453678446
140.9717227030912,140.9717227030912
115.08339766808993,115.08339766808993
115.29343080455187,115.29343080455187
105.61511426179429,105.61511426179429
98.89347693545733,98.89347693545733
99.05930800379579,99.05930800379579
98.6860579076636,98.6860579076636
98.72103049540453,98.72103049540453
99.21093194034268,99.21093194034268
99.23852946638782,99.23852946638782
98.59174151157505,98.59174151157505
99.2341388742329,99.2341388742329
99.88308084254584,99.88308084254584
106.37565839274153,106.37565839274153
103.76869550150307,103.76869550150307
98.98018075122019,98.98018075122019
99.08724504525958,99.08724504525958
99.95665758040548,99.95665758040548
105.38060756167583,105.38060756167583
110.08896085056871,110.08896085056871
118.5886782217683,118.5886782217683
117.1561878628464,117.1561878628464
117.68937782856106,117.68937782856106
118.93697825236869,118.93697825236869
122.7505679489268,122.7505679489268
124.14866846425444,124.14866846425444
155.46670170148727,155.46670170148727
156.64745505215126,156.64745505215126
163.3729296275242,163.3729296275242
175.2230483271376,175.2230483271376
183.37735849056622,183.37735849056622
187.7992277992279,187.7992277992279
189.32584269662908,189.32584269662908
192.13523131672588,192.13523131672588
192.13523131672588,192.13523131672588
191.10701107011062,191.10701107011062
192.11895910780657,192.11895910780657
194.8612738763813,194.8612738763813
197.18980321539794,197.18980321539794
201.54151032648903,201.54151032648903
204.2585263104027,204.2585263104027
201.54938035520678,201.54938035520678
203.5630941604989,203.5630941604989
203.24821590958095,203.24821590958095
199.1417669731208,199.1417669731208
197.73789462801966,197.73789462801966
197.68161096678253,197.68161096678253
199.34700103158198,199.34700103158198
193.10847829064528,193.10847829064528
182.6763501888584,182.6763501888584
182.6763501888584,182.6763501888584
166.6109332966796,166.6109332966796
166.6109332966796,166.6109332966796
169.49526249364237,169.49526249364237
171.1133089222955,171.1133089222955
163.51829279222744,163.51829279222744
158.0802476758339,158.0802476758339
154.43899352614295,154.43899352614295
148.4546766237056,148.4546766237056
148.4546766237056,148.4546766237056
153.0097385098593,153.0097385098593
153.0097385098593,153.0097385098593
153.18308111211948,153.18308111211948
151.01272833086136,151.01272833086136
138.61680111905264,138.61680111905264
124.10443554070085,124.10443554070085
117.8322705738896,117.8322705738896
111.97174722639292,111.97174722639292
111.97174722639292,111.97174722639292
124.22240239036563,124.22240239036563
124.22240239036563,124.22240239036563
122.3013089150223,122.3013089150223
117.40462184068843,117.40462184068843
129.15816463273006,129.15816463273006
133.98018171074236,133.98018171074236
128.78423743224405,128.78423743224405
124.02522255566734,124.02522255566734
116.45084570208451,116.45084570208451
113.11878483501549,113.11878483501549
108.04240877481293,108.04240877481293
125.68981312146933,125.68981312146933
140.53855797781253,140.53855797781253
143.12135325414295,143.12135325414295
144.27603659832823,144.27603659832823
145.0506756756756,145.0506756756756
141.0068259385667,141.0068259385667
141.0068259385667,141.0068259385667
150.13289036544847,150.13289036544847
159.56168831168804,159.56168831168804
157.05000000000024,157.05000000000024
155.40404040404036,155.40404040404036
147.28260869565202,147.28260869565202
141.3909774436088,141.3909774436088
141.3909774436088,141.3909774436088
143.11111111111111,143.11111111111111
144.5072992700727,144.5072992700727
146.23655913978513,146.23655913978513
148.0633802816902,148.0633802816902
145.75812274368258,145.75812274368258
142.82527881040883,142.82527881040883
142.82527881040883,142.82527881040883
162.54716981132063,162.54716981132063
162.54716981132063,162.54716981132063
161.09195402298883,161.09195402298883
160.63461538461547,160.63461538461547
168.7692307692309,168.7692307692309
180.78740157480306,180.78740157480306
179.46428571428586,179.46428571428586
179.25925925925947,179.25925925925947
179.25925925925947,179.25925925925947
189.30962343096263,189.30962343096263
198.2157676348549,198.2157676348549
190.97826086956564,190.97826086956564
182.56880733944917,182.56880733944917
186.14678899082554,186.14678899082554
191.79203539822993,191.79203539822993
191.79203539822993,191.79203539822993
195.16055045871553,195.16055045871553
198.74407582938395,198.74407582938395
186.02040816326542,186.02040816326542
171.06145251396651,171.06145251396651
173.65269461077833,173.65269461077833
177.01923076923094,177.01923076923094
177.01923076923094,177.01923076923094
192.02702702702715,192.02702702702715
192.02702702702715,192.02702702702715
183.16176470588226,183.16176470588226
171.54761904761898,171.54761904761898
182.2,182.2
192.4390243902439,192.4390243902439
203.26446280991752,203.26446280991752
214.15254237288178,214.15254237288178
214.15254237288178,214.15254237288178
222.68867924528308,222.68867924528308
234.21874999999974,234.21874999999974
248.83333333333314,248.83333333333314
317.18750000000017,317.18750000000017
385.9375000000018,385.9375000000018
455.4687499999995,455.4687499999995
455.4687499999995,455.4687499999995
320.19230769230757,320.19230769230757
