/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg,
1497.7960143755297,326.875,318.74999999999994,365.67133864820744,3.9935483870967765,699.450703356469,
1248.0327196882765,358.1768298138684,628.3333333333322,383.1873591609209,3.8629921259842517,706.1934880920649,
1251.9750471893578,360.08418527747347,628.3333333333333,381.1541863207542,3.862992125984252,704.5370559921053,
973.8868132547975,272.2977087508242,406.6666666666672,282.43908546411285,3.8230362687610255,537.8241524952143,
974.1767981922835,272.97589445285223,406.6666666666673,279.2288601771705,3.8200514733622604,535.6160945517792,
936.4397740457,383.89804067706996,704.6874999999998,409.8035407842335,3.8661805504554154,613.8974171255408,
1098.850503388776,300.9464114436923,491.61458774182057,330.03358449750573,3.8541076438851736,576.8787421622108,
1100.3100473007974,301.27153527445626,491.30944917541945,328.1083311384523,3.8537618201765835,575.3545951498387,
973.3475155937776,247.4800401658376,384.47793249234996,249.51848288437597,3.9460429815829934,510.0753662699552,
973.5017043041917,247.49798668302367,384.37781419045507,249.32365808068906,3.9458589803795125,508.7231086079964,
947.7462755823228,282.6670511047413,467.3043253696798,326.3637621278644,3.919679051614622,512.5215651402716,
947.7754636088633,282.8033812158683,467.1951495745192,325.159205548549,3.919562645996164,511.50249218439404,
947.7529624964918,282.6115296008535,467.34772372740713,326.08864681847217,3.865254113259357,495.57802525670155,
996.3013299226093,343.7060613177995,624.753915355808,410.06087478912457,3.8342749599685346,561.3735657209587,
1125.4564646275096,398.7386989021868,661.0508395436141,422.46198597948586,3.831334734200495,637.5994496199801,
1074.6004177351172,394.58871431902105,605.4330486022785,409.2864070211037,3.835254877168948,637.532110907091,
996.4292867608783,382.7469724837566,571.0615512276099,407.86099242312184,3.8510360264168906,610.9328525599996,
978.1832034077711,397.74174034492484,573.5451227902205,434.15003313663556,3.8928034303248107,595.5151245060581,
976.4717080366215,396.75721388779994,568.0026363797646,433.1763250810858,3.8907881680872043,593.8277180370097,
1029.2042130041473,414.72137143273824,647.3296263001046,448.90322972200244,3.944560569873398,631.9204519122751,
1042.9816058826952,418.3823961396543,638.4858268620123,448.7799330568746,3.979164307678896,632.4097261852897,
1017.4188121036213,416.3091055997345,628.7179237280304,450.5111353689292,3.987220449689933,625.9330314754463,
999.6655123224549,421.02857198708926,618.131539419074,456.24907538845036,4.011486630364845,628.7267203182241,
992.3864386682202,414.5467299219876,574.7073815670224,446.3133968822161,4.023135342873454,610.7856420815966,
966.2069566727255,395.5750928248144,515.2345889896757,426.99173232210364,4.067282821477043,574.6622457660083,
953.6394371532112,382.5022523706311,492.71770137046553,395.30610781184157,4.076041708438539,551.0386570356022,
912.579973188814,362.10111327307516,491.53151763312286,394.5971749016435,4.0901413282841546,509.4223614910623,
908.7698949942443,387.0808467232103,531.1741541409443,419.80012978137546,4.09795920812976,499.7251608067471,
907.7344997097732,394.22155844602406,551.888668774848,433.55615589770923,4.1120184749478526,522.1160340642588,
