/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.7949822222222223,0,0,0,0,0.7949822222222223
0.8632711111111111,0,0,0,0,0.8632711111111111
5.225875555555556,0,0,0,0,5.225875555555556
5.666314074074075,0,0,0,0,5.666314074074075
6.114005925925926,0,0,0,0,6.114005925925926
6.836222222222222,0,0,0,0,6.836222222222222
7.690481481481481,0,0,0,0,7.690481481481481
8.06308148148148,0,0,0,0,8.06308148148148
8.442496296296296,0,0,0,0,8.442496296296296
7.144444444444446,0,0,0,0,7.144444444444446
7.144444444444446,0,0,0,0,7.144444444444446
7.079318518518518,0,0,0,0,7.079318518518518
6.7021185185185175,0,0,0,0,6.7021185185185175
6.091925925925926,0,0,0,0,6.091925925925926
5.714385185185185,0,0,0,0,5.714385185185185
1.6017555555555554,0,0,0,0,1.6017555555555554
1.4845185185185183,0,0,0,0,1.4845185185185183
1.3724666666666667,0,0,0,0,1.3724666666666667
1.257511111111111,0,0,0,0,1.257511111111111
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
3.3241125925925927,0,0,0,0,3.3241125925925927
3.5177740740740737,0,0,0,0,3.5177740740740737
3.7314451851851844,0,0,0,0,3.7314451851851844
3.9287207407407396,0,0,0,0,3.9287207407407396
3.966666666666667,0,0,0,0,3.966666666666667
3.966666666666667,0,0,0,0,3.966666666666667
3.966666666666667,0,0,0,0,3.966666666666667
5.655992592592592,0,0,0,0,5.655992592592592
6.003974074074074,0,0,0,0,6.003974074074074
7.891440740740741,0,0,0,0,7.891440740740741
8.377149629629631,0,0,0,0,8.377149629629631
8.873711111111112,0,0,0,0,8.873711111111112
9.119404444444445,0,0,0,0,9.119404444444445
8.49192888888889,0,0,0,0,8.49192888888889
7.205360000000001,0,0,0,0,7.205360000000001
7.02848,0,0,0,0,7.02848
6.249742222222222,0,0,0,0,6.249742222222222
5.939128888888889,0,0,0,0,5.939128888888889
11.76370962962963,0,0,0,0,11.76370962962963
12.108899259259259,0,0,0,0,12.108899259259259
9.343687407407408,0,0,0,0,9.343687407407408
9.977005925925925,0,0,0,0,9.977005925925925
9.263214814814814,0,0,0,0,9.263214814814814
10.16752,0,0,0,0,10.16752
11.023317037037039,0,0,0,0,11.023317037037039
8.544444444444444,0,0,0,0,8.544444444444444
8.544444444444444,0,0,0,0,8.544444444444444
8.544444444444444,0,0,0,0,8.544444444444444
8.544444444444444,0,0,0,0,8.544444444444444
8.544444444444444,0,0,0,0,8.544444444444444
8.501318518518518,0,0,0,0,8.501318518518518
0,0,0,0,0,0
0,0,0,0,0,0
3.035837037037037,0,0,0,0,3.035837037037037
3.4633925925925926,0,0,0,0,3.4633925925925926
7.5294888888888885,0,0,0,0,7.5294888888888885
8.385340740740741,0,0,0,0,8.385340740740741
9.241977777777777,0,0,0,0,9.241977777777777
10.10842962962963,0,0,0,0,10.10842962962963
10.99451111111111,0,0,0,0,10.99451111111111
11.855466666666668,0,0,0,0,11.855466666666668
10.664222222222222,0,0,0,0,10.664222222222222
12.144702222222222,0,0,0,0,12.144702222222222
12.667105185185186,0,0,0,0,12.667105185185186
13.192764444444446,0,0,0,0,13.192764444444446
13.70632888888889,0,0,0,0,13.70632888888889
9.881442962962963,0,0,0,0,9.881442962962963
10.388029629629632,0,0,0,0,10.388029629629632
10.466666666666667,0,0,0,0,10.466666666666667
9.433962962962966,0,0,0,0,9.433962962962966
8.859306666666667,0,0,0,0,8.859306666666667
8.281202962962965,0,0,0,0,8.281202962962965
7.69753037037037,0,0,0,0,7.69753037037037
7.120487407407408,0,0,0,0,7.120487407407408
6.534162962962963,0,0,0,0,6.534162962962963
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
0.0,0,0,0,0,0.0
2.285457777777778,0,0,0,0,2.285457777777778
2.594355555555555,0,0,0,0,2.594355555555555
2.8969155555555557,0,0,0,0,2.8969155555555557
3.2022311111111113,0,0,0,0,3.2022311111111113
3.5032755555555557,0,0,0,0,3.5032755555555557
3.8099688888888887,0,0,0,0,3.8099688888888887
4.109635555555555,0,0,0,0,4.109635555555555
8.587176296296297,0,0,0,0,8.587176296296297
9.18032,0,0,0,0,9.18032
9.764078518518518,0,0,0,0,9.764078518518518
10.346764444444444,0,0,0,0,10.346764444444444
10.93508148148148,0,0,0,0,10.93508148148148
