/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg,unknown
4071.2110925014285,2275.80472919152,2249.805956479183,2219.7802197802202,180.21739130434779,2397.0011735883395,
3777.8543077579025,2291.3157846235767,2266.7229625439377,2253.90625,195.8333333333334,2365.9120835677677,
3779.390723680456,2291.1893962634267,2266.6653794559916,2253.90625,195.83333333333331,2366.012058209035,
3513.758585074477,2301.638523451326,2263.184679249359,2272.727272727273,199.89361702127653,2350.558928920473,
3515.186121867664,2301.5607264378195,2263.133862199492,2272.7272727272725,199.89361702127655,2350.627002956112,
3516.4556699397554,2301.491547323155,2263.088656843822,2272.727272727273,199.8936170212765,2350.6875641296338,
3361.9093411837866,2305.8721207681356,2274.9524610560566,2280.7106598984774,206.90476190476193,2346.9919275714856,
3363.0024554354213,2305.820960355596,2274.907248819195,2280.7106598984774,206.90476190476187,2347.0402798220593,
3086.2568784242944,2307.92505835516,2273.473415997878,2291.276595744681,209.93421052631578,2337.8636516461493,
3087.2751906802787,2307.8790989611475,2273.440143249301,2291.276595744681,209.93421052631578,2337.8992008367586,
3045.924977947385,2309.920058177816,2277.0893938043528,2296.8283582089553,214.68749999999994,2339.08682161058,
3046.734025344452,2309.9102125862955,2277.0611191094094,2296.8283582089553,214.68749999999994,2339.1137093142574,
2804.224621187779,2311.9375049761065,2274.2643600946976,2301.803278688524,209.00990099009903,2332.4294299310404,
2805.002805965688,2311.917118338868,2274.240810066419,2301.803278688525,209.00990099009906,2332.451386126775,
2611.1913715220016,2315.582047519239,2300.6792034000036,2306.1403508771928,216.6355140186916,2336.324165895495,
2611.8939103293187,2315.561321672808,2300.659703020449,2306.140350877193,216.63551401869154,2336.3414765147186,
2612.543871040617,2315.542150789114,2300.641659473519,2306.1403508771928,216.6355140186915,2336.357494096958,
2573.4818193568876,2312.5336731112566,2300.710708545843,2306.4383561643835,213.28483215128858,2334.577888430454,
2574.0533431088393,2312.51655000388,2300.699181466247,2306.4383561643835,213.23577778122538,2334.5917685646655,
2496.8966108051277,2314.0982040593317,2297.757590830765,2310.467980295566,216.06098035822453,2332.1059005124744,
2496.9328019159,2314.0827127769708,2297.74642057524,2310.4679802955666,216.04077561442713,2332.1172413023232,
2496.426706149254,2316.9961616324863,2301.63048469405,2310.6502242152465,217.3893907935126,2333.7755593868364,
2496.4579224670742,2316.9832929205095,2301.6199845510505,2310.6502242152465,217.3778832132247,2333.7852013375996,
2494.048534968136,2316.888859681085,2307.194379711094,2312.033195020747,219.14842222536677,2335.3471182971325,
2494.0755931547646,2316.8755082818843,2307.185152116562,2312.033195020747,219.14085008660732,2335.355604407463,
2490.7422716267342,2318.281365750482,2305.6256516664375,2314.587332053743,218.9402900224631,2334.2071811589367,
2490.765078520796,2318.2704002861747,2305.6172651104944,2314.587332053743,218.93504802269538,2334.2144088082173,
2490.7806268685663,2318.260064711073,2305.6093599871697,2314.587332053743,218.93010665309518,2334.221221915308,
2479.407381563262,2320.179029435446,2304.7271999170907,2317.0535714285716,217.3839190182517,2332.3115383378745,
2479.4362606029763,2320.169664078079,2304.719851555512,2317.0535714285716,217.38003505603893,2332.342856220159,
2471.4663832106135,2326.3785701866414,2305.079249606386,2331.8791946308725,215.0815751316854,2334.9643846632516,
2474.439389931874,2326.257448756761,2306.627644889247,2331.8791946308725,216.64485157041526,2335.74457780788,
2429.5827313255404,2326.014524099777,2323.12735449121,2334.6026490066224,216.67785608108113,2325.066419127912,
2417.553221714703,2326.0153056780264,2323.0549197868295,2334.6026490066224,216.67356204954956,2325.0160069662093,
2397.962515864424,2327.8372476667,2330.098839401413,2336.0065466448445,216.19484014584532,2321.538895905501,
2397.8791025680857,2327.8379002517127,2330.0994809826675,2336.0065466448445,216.19118470543089,2321.489304358432,
2396.163069544364,2328.093115119156,2336.5625589665483,2335.5155482815057,215.90602439862545,2322.7528402921944,
2396.163069544364,2328.0937049912413,2336.56295545393,2335.5155482815057,215.90274415807562,2322.7517617086614,
2396.163069544364,2328.0942964072274,2336.563352977003,2335.5155482815057,215.8994551546392,2322.7506802306034,
2396.4114832535884,2327.2873080900513,2335.6508993769353,2334.8039215686276,215.05405156274793,2322.1107234509054,
2396.4114832535884,2327.28787814123,2335.6512978154033,2334.8039215686276,215.05103617325085,2322.1096407584037,
2396.0526315789475,2327.1326886469133,2337.7284836864087,2335.0,215.4236019005848,2322.483442047356,
2396.0526315789475,2327.133221386398,2337.7287950375103,2335.0,215.42082697368423,2322.4823704250457,
2389.9366085578445,2326.9607490361,2336.8677042801555,2335.7843137254904,212.34036496655523,2320.439024390244,
2389.9366085578445,2326.9612580622234,2336.8677042801555,2335.7843137254904,212.33770930880712,2320.439024390244,
2398.5258964143427,2327.8781152087877,2340.152235965747,2333.7704918032787,209.8075248796148,2324.0237691001703,
2398.5258964143427,2327.8785748437085,2340.152235965747,2333.7704918032787,209.80495873461746,2324.0237691001703,
2391.828138163437,2328.1387181738364,2342.7125506072875,2333.6221837088387,206.90324532851116,2322.6291441788744,
2389.078633836378,2328.6243822075785,2341.1428571428573,2334.1463414634145,213.1526482337829,2321.4717254712423,
