/ && GET,/cart && GET,/cart/checkout && POST,^/product/[0-9][[:alnum:]]*$ && GET,/unknown,avg,/unknown2
2436.869039880943,775.0745942430028,936.4368203724918,6.5956131690775655,784.5657672267916,988.7185958136994,
2400.2604676213914,766.5630557757825,928.1842231416265,7.261981953829924,775.9346169232538,981.3000188039433,
2368.0791176515577,758.7268414734681,920.937077421709,7.8348820586133066,767.9221865119807,974.7424545405032,
2337.3825457915386,750.9219410317402,914.030769322075,8.370471901311888,759.8780121654232,968.455674038144,
2314.7308093409456,744.9431380082921,908.93848455334,8.759069089141434,753.6723974441186,963.796480717896,
2294.052025155389,739.3136937630404,904.2927310436303,9.109019252034358,747.7945406313847,959.5281614531066,
2225.689883728618,766.2372363105924,933.2396045842477,13.914375678826605,800.6589194737692,976.4487712889762,
2204.3225966642785,761.7769805204266,929.0537747946639,14.690276110444167,795.5475896393464,972.8458658845659,
2178.1917338547582,757.6229203300418,925.2409837413682,17.941176470588246,790.7516078649586,969.8183816461847,
2159.433324338381,753.8245623353172,922.6117988628581,17.941176470588246,786.3359677244229,966.1532728429461,
2113.011196712829,689.6019099402818,862.3638631674904,17.941176470588246,723.1188309063509,914.5293932311458,
1890.7816887049917,641.4772727272725,843.8775510204084,17.941176470588246,684.6938775510207,901.6949152542377,
1793.9024390243906,641.4772727272725,843.8775510204084,17.941176470588246,684.6938775510207,901.6949152542377,
1437.8066469699595,495.8666624677206,859.0242335766421,23.17857142857143,543.5483870967741,857.0175438596495,
1253.6764705882351,494.6969696969697,860.2788321167881,23.17857142857143,543.5483870967741,857.0175438596495,
1253.6764705882351,494.69696969696986,860.948905109489,23.17857142857143,543.548387096775,857.0175438596491,
1253.6764705882351,494.69696969696986,860.948905109489,23.17857142857143,543.548387096775,857.0175438596491,
1253.6764705882351,494.69696969696986,860.948905109489,23.17857142857143,543.548387096775,857.0175438596491,
1253.6764705882351,494.69696969696986,860.948905109489,23.17857142857143,543.548387096775,857.0175438596491,
1790.909090909091,583.0188679245282,896.7625899280575,15.5,485.99999999999994,915.7035175879394,
1790.9090909090905,583.0188679245264,896.7625899280579,15.500000000000021,485.99999999999994,915.7035175879398,
1790.909090909091,583.0188679245282,896.7625899280575,15.5,485.99999999999994,915.7035175879394,
1790.909090909091,583.0188679245282,896.7625899280575,15.5,485.99999999999994,915.7035175879394,
1855.4661977102842,666.0073945848312,953.8926736480828,8.108044577832835,640.1007154670431,962.6414619912416,
1846.0147039046042,663.4312149521159,957.1622946171424,7.852743333585776,645.2187099484873,962.6793805687569,
2094.9962588082453,950.7778654425481,1330.1140618281752,4.5240068381634675,843.2824075851212,1441.4341781177488,
1792.8777465636601,736.6986283972576,1074.5796096616625,4.882642037876768,797.8010746408133,983.5838940415656,
1782.778976549406,733.0009760492535,1086.33504822733,4.86646880819367,798.8531663824376,983.1396214307705,
1772.9586172183003,729.3651899436522,1097.3881567879218,4.851060146036687,799.8763382667175,982.7106799121792,
1762.2742533369697,726.7323681630504,1106.8989381591089,4.836787416354839,800.8427545657801,982.015483645495,
1619.7084480793542,747.9734909697352,955.0258903422464,4.989864342279759,772.164396495147,919.8544621998196,
1602.1259394635254,734.8255395382328,937.8076933249206,4.929411764705884,771.5962125291692,917.3514506593762,
