adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,1,2,1,1,1,1,1
1,1,2,2,1,2,1,2,2,1,1
1,2,3,4,1,3,1,2,2,1,1
1,2,5,6,1,5,1,2,3,1,1
1,3,6,9,1,6,1,3,3,1,1
1,2,6,10,1,6,1,3,3,1,1
2,1,3,5,2,3,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,3,3,1,3,1,1,2,1,1
1,2,4,5,1,5,1,3,3,1,1
2,2,1,2,1,2,1,1,1,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,5,1,3,2,1,1
1,2,4,5,1,4,1,3,3,1,1
1,2,3,6,1,5,1,3,3,1,1
1,2,4,8,1,6,1,3,3,1,1
1,2,4,8,1,6,1,3,3,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,4,8,1,5,1,3,3,1,1
1,2,4,8,1,6,1,3,3,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,5,7,1,6,1,3,3,1,2
1,2,4,7,1,6,1,3,4,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,4,6,1,6,1,4,4,1,1
1,2,6,9,1,8,1,4,4,1,1
1,2,6,10,1,7,1,4,4,1,1
1,2,6,11,1,8,1,4,4,1,1
1,3,6,11,1,8,1,4,3,1,1
1,2,6,10,1,8,1,4,4,1,1
1,2,6,11,1,8,1,4,4,1,1
1,2,6,10,1,8,1,4,4,1,1
1,2,6,11,1,8,1,4,4,1,1
1,2,5,10,1,8,1,3,4,1,1
1,2,4,8,1,5,1,3,3,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,3,5,1,4,1,2,2,1,1
1,1,2,4,1,4,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,1,2,4,1,4,1,2,2,1,1
1,1,2,3,1,4,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,1,4,1,4,1,2,2,1,1
1,1,1,3,1,3,1,2,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,2,1,1,2,1,1
1,2,3,5,1,4,1,2,2,1,1
1,1,2,3,1,3,2,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,2,1,2,1,1,1
1,1,3,5,1,4,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,2,1,2,1,1,1
1,2,3,6,1,4,1,2,2,1,1
1,2,3,8,1,4,1,2,2,1,1
1,2,3,11,1,6,1,3,2,1,1
1,2,3,13,1,6,1,3,2,1,1
1,2,4,12,1,6,1,2,3,1,1
1,2,3,13,1,6,1,2,2,1,1
1,2,3,10,1,6,1,2,3,1,1
1,2,4,10,1,6,1,3,3,1,1
1,2,4,11,1,6,1,2,2,1,1
1,2,4,10,1,6,1,3,3,1,1
1,2,4,10,1,6,1,3,3,1,1
1,2,4,10,1,5,1,2,3,1,1
1,2,5,9,1,6,1,3,2,1,1
1,2,4,8,1,6,1,3,3,1,1
1,2,4,7,1,6,1,3,3,1,1
1,2,5,11,1,7,1,3,3,1,1
1,2,6,13,1,7,1,3,3,1,1
1,2,7,14,1,7,1,3,3,1,1
1,2,6,13,1,7,1,3,3,1,1
1,2,6,12,1,7,1,3,3,1,1
1,2,7,11,1,7,1,3,3,1,1
1,2,7,12,1,8,2,3,3,1,1
1,2,7,13,1,8,2,3,3,1,1
1,2,7,12,1,8,2,3,3,1,1
1,2,8,13,1,7,1,3,3,1,1
1,2,7,13,2,8,2,3,3,1,1
1,2,7,13,1,8,2,3,3,1,1
1,2,7,12,2,7,2,3,3,1,1
1,2,7,12,1,7,2,3,3,1,1
1,2,6,11,1,7,1,3,3,1,1
1,2,6,12,1,7,1,3,3,1,1
1,2,7,12,1,7,2,3,3,1,1
1,2,7,12,2,7,1,3,3,1,1
1,2,6,12,2,7,2,3,4,1,1
1,1,4,8,1,4,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,5,5,2,5,1,3,2,1,1
1,1,3,4,1,3,1,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
