adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,1,1,1,1,2,1,1
1,1,2,3,1,2,1,1,2,1,1
1,1,3,4,1,3,1,1,2,1,1
1,2,4,5,1,4,1,2,2,1,1
1,2,4,7,1,4,2,2,3,1,1
1,3,5,9,1,6,2,3,3,1,1
1,3,5,11,1,6,1,3,3,1,1
1,2,6,12,1,7,1,3,3,1,1
1,2,6,13,1,8,1,4,3,1,1
1,2,6,13,1,8,1,4,4,1,1
1,3,7,14,1,9,1,4,4,1,1
1,3,6,15,1,9,1,4,4,1,1
1,2,5,13,1,9,1,4,4,1,1
1,2,5,13,1,9,1,4,4,1,1
1,2,6,12,1,9,1,3,4,1,1
1,2,6,13,1,10,1,4,4,1,1
1,2,5,13,1,9,1,4,4,1,1
1,2,5,12,1,8,1,3,4,1,1
1,2,4,9,1,6,1,3,3,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,3,5,2,4,1,2,2,1,1
1,1,3,3,1,3,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,3,5,1,4,1,2,2,1,1
1,1,2,2,1,3,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,2,2,1,2,1,2,2,1,1
1,2,4,5,1,5,1,3,3,1,1
2,1,2,3,1,3,1,1,2,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,4,1,2,1,1,1
1,2,3,5,1,4,1,2,3,1,1
2,1,2,3,1,2,1,1,1,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,2,2,1,3,1,2,2,1,1
1,1,3,5,1,5,1,2,2,1,1
2,2,2,2,2,2,2,2,2,1,1
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,2,1,1,2,1,1
1,2,2,5,1,4,1,3,2,1,1
1,2,2,7,1,5,1,2,2,1,1
1,2,3,9,1,6,1,2,3,1,1
1,2,3,11,1,6,1,3,3,1,1
1,2,3,13,1,7,1,3,3,1,1
1,2,3,14,1,7,1,3,2,1,1
1,2,3,14,1,8,1,3,3,1,1
1,2,3,15,1,8,1,3,3,1,1
1,2,4,17,1,8,1,4,3,1,1
1,2,4,19,1,9,1,4,3,1,1
1,2,4,19,1,10,1,3,3,1,1
1,2,4,19,1,10,1,3,3,1,1
1,2,4,19,1,10,1,3,3,1,1
1,2,3,18,1,10,1,3,3,1,1
1,2,4,18,1,10,1,3,3,1,1
1,2,4,18,1,10,1,3,3,1,1
1,3,3,19,1,10,1,3,3,1,1
1,3,4,20,1,11,1,3,3,1,1
1,2,3,18,1,10,1,3,3,1,1
1,1,1,4,1,3,1,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,4,1,4,1,2,2,1,1
1,1,2,3,1,3,1,2,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,3,4,1,4,1,2,2,1,1
1,1,1,3,1,2,1,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,5,1,3,1,2,2,1,1
1,1,3,4,1,3,1,2,2,1,1
1,2,3,9,1,5,1,2,2,1,1
1,2,4,9,1,6,1,3,3,1,2
1,3,5,16,1,6,1,3,3,1,1
1,2,1,7,1,2,1,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,3,1,2,1,2,1,1,1
1,2,4,6,2,4,1,2,2,1,1
1,1,2,3,1,1,1,1,1,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,1,2,4,1,3,1,2,2,1,1
1,2,4,7,1,3,1,2,2,1,1
2,1,1,3,1,1,2,1,1,1,1
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,1,2
1,2,2,3,1,3,1,2,1,1,1
1,2,4,5,1,4,1,2,2,1,1
1,2,4,6,1,5,1,2,3,1,1
1,2,5,10,1,6,1,2,3,1,1
1,2,5,13,1,6,1,3,3,1,1
1,2,6,16,1,8,1,3,3,1,1
1,2,6,15,2,8,1,3,3,1,1
1,3,7,16,1,8,1,3,3,1,1
1,2,6,16,2,9,1,3,3,1,1
1,2,6,16,1,7,1,3,3,1,1
1,2,5,13,2,6,1,2,3,1,1
1,2,6,12,1,7,1,3,3,1,1
1,2,6,12,1,8,1,3,3,1,1
1,2,5,13,1,8,1,3,4,1,1
