adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,shippingservice
8.529794531525422,12.331519166952502,1.9220463444879223,108.88133634268539,4.897763361108095,85.797698585233,13.073883725510457,10.183089727211131,5.415303750126207,2.872460202065441
8.529794531525422,12.584217803056475,1.9220463444879223,129.76109914607426,4.798899990264243,85.797698585233,12.982061594402527,10.183089727211131,5.415303750126207,2.918664898136781
8.529794531525422,13.941993716081349,1.9220463444879223,129.7610991460743,4.700400254807403,85.797698585233,11.936239333806231,10.104268634719038,5.415303750126207,2.918664898136781
7.598632403329339,13.941993716081349,1.7764318846144764,129.19097211095863,4.599991433568752,77.45594584220156,11.697261216622604,9.310711653673009,5.415303750126207,2.9186648981367806
8.610054979622037,14.070269113586265,2.1341203475979578,129.19097211095863,5.584920778875701,87.51154692432847,13.198888707305128,10.039575023436454,5.502712652586894,2.976057951664825
8.617453371287812,14.070269113586265,2.1341203475979578,129.19097211095863,6.122040558089956,87.51154692432847,13.198888707305128,10.039575023436452,5.502712652586894,2.976057951664825
8.617453371287814,14.070269113586265,2.1341203475979578,115.81443119944653,6.122040558089956,87.51154692432847,13.198888707305128,10.039575023436454,4.741634055921675,2.496028971108558
8.617453371287812,14.070269113586265,2.1341203475979578,113.4039429781429,5.55966736157358,87.51154692432847,13.198888707305128,10.039575023436452,4.842817074898523,2.5494151963868
8.617453371287814,14.070269113586265,2.1341203475979578,130.14088298800988,5.446103509221012,87.51154692432847,13.24731161283225,10.039575023436454,4.943412608727227,2.602491452514252
8.617453371287814,12.790236151997972,2.1341203475979578,109.71570814789241,5.332386605854491,88.46938944284369,13.24731161283225,9.134411201826337,5.422939829040575,2.861253699593122
7.72273191259157,12.531577704793209,2.177206541697075,112.06937379744272,5.219843093594936,80.49343163762414,13.24731161283225,9.974340738106573,4.997551624687148,2.8612536995931217
8.713587890693548,14.66223232303462,2.183959544402229,114.43797658166831,6.016082831339643,90.52755828027723,13.24731161283225,10.433947652191003,5.460007923145259,3.0851162837749375
7.442164992781562,14.66223232303462,2.183959544402229,104.24797000000014,6.016082831339643,90.52755828027726,11.961393234670235,10.433947652191003,5.460007923145259,3.085116283774938
7.599124870246071,14.662232323034619,2.183959544402229,113.14698137044626,5.804359304062922,90.52755828027726,11.693081624087066,10.433947652191003,5.460007923145259,3.085116283774938
7.760661254388361,14.662232323034619,2.183959544402229,110.73676799676804,5.685892467628435,90.52755828027726,11.445347773282444,10.433947652191003,5.460007923145259,3.085116283774938
8.580950020838756,14.66223232303462,2.2636837771067646,131.94070083715215,5.570991697983477,90.52755828027723,11.205071161014663,10.433947652191003,5.038911312082114,3.0851162837749375
8.580950020838756,14.66223232303462,2.0623023810885273,131.94070083715215,5.4331212628412615,90.52755828027726,10.916761159347844,9.650917144992826,4.940309557545527,2.788373088554927
8.466969790979945,13.829271903043601,2.0841359040240377,120.46946477971538,6.141865836804466,89.60076891415015,13.24823382977813,9.950945637802327,5.487755905511584,3.0287152750138495
8.466969790979945,13.829271903043601,2.0841359040240377,118.05275094271487,6.141865836804467,87.52455921376995,13.16230954452562,9.950945637802329,5.487755905511584,3.0287152750138495
8.466969790979945,13.829271903043601,2.0841359040240377,115.52718602752371,5.32208398256805,87.52455921376995,13.16230954452562,9.950945637802329,5.487755905511583,3.0287152750138495
8.466969790979945,13.829271903043601,2.0841359040240377,113.06539245107051,5.213948142558887,87.52455921376996,13.16230954452562,9.950945637802329,5.487755905511584,3.0287152750138495
